2,1,0,0
3,1,0,0
4,1,0,0
7,0,0,1
9,0,0,1
10,1,0,0
11,1,0,0
12,1,0,0
14,1,0,0
15,1,0,0
16,0,1,0
17,1,0,0
18,1,0,0
21,0,1,0
22,1,0,0
25,0,1,0
30,1,0,0
32,0,1,0
34,1,0,0
35,0,1,0
36,1,0,0
37,1,0,0
39,1,0,0
40,0,1,0
41,0,1,0
42,0,1,1
45,0,1,1
46,1,0,0
47,1,0,0
48,0,0,1
50,1,0,0
51,0,1,0
52,1,0,0
56,1,0,0
58,0,1,0
62,1,0,0
63,1,0,0
65,0,0,1
66,0,1,1
70,0,1,1
71,1,0,0
72,0,1,0
73,1,0,0
74,0,1,0
76,1,0,0
77,0,1,1
78,0,1,0
82,0,1,0
85,0,0,1
86,1,0,0
87,1,0,0
95,1,0,0
96,0,0,1
97,0,0,1
98,1,0,0
100,1,0,0
101,1,0,0
102,1,0,0
103,0,1,0
106,0,1,0
108,0,1,0
109,1,0,0
110,0,0,1
113,0,1,1
114,1,0,0
116,1,0,0
117,0,0,1
118,0,1,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,0,0
126,0,1,0
127,1,0,0
128,0,1,0
133,0,0,1
136,0,1,0
137,1,0,0
140,1,1,0
141,0,1,0
143,0,0,1
144,1,0,0
145,0,0,1
147,0,1,1
148,0,1,0
150,0,1,0
151,0,0,1
153,0,1,0
155,1,0,0
156,1,0,0
160,1,0,0
163,0,1,0
164,0,1,0
165,0,1,0
166,1,0,0
167,0,1,0
168,1,0,0
169,1,0,0
170,0,0,1
171,0,1,0
172,0,0,1
173,0,1,0
174,0,0,1
175,1,0,0
176,0,0,1
180,0,0,1
181,0,0,1
182,0,0,1
185,1,0,0
186,1,0,0
187,1,0,0
189,0,1,0
192,0,1,0
194,1,0,0
195,1,0,0
197,1,0,0
198,1,0,0
201,1,0,0
202,0,0,1
203,1,0,0
205,1,0,0
208,0,1,0
209,1,0,0
210,0,0,1
211,1,0,0
214,1,0,0
215,1,0,0
216,0,1,0
218,0,1,0
219,0,1,1
220,0,1,0
222,0,1,1
224,0,0,1
226,1,0,0
228,0,1,1
229,0,0,1
230,1,0,0
231,1,0,0
232,1,0,0
233,1,0,0
235,1,0,0
236,1,0,0
237,0,1,0
241,1,0,0
244,1,0,0
245,0,1,0
246,0,1,0
249,1,0,0
250,1,0,0
252,0,1,0
253,0,0,1
254,1,0,0
255,1,0,0
258,1,0,0
261,0,1,0
264,0,0,1
267,0,0,1
268,1,0,0
271,0,1,1
273,1,0,0
276,1,0,0
277,1,0,0
278,1,0,0
280,1,0,0
281,1,0,0
282,0,1,0
283,0,1,0
285,0,1,0
286,1,0,0
287,0,1,0
288,0,0,1
289,1,0,0
291,1,0,0
294,0,0,1
298,0,0,1
301,1,0,0
303,1,0,0
304,0,1,0
305,0,1,0
307,1,0,0
308,0,1,0
309,0,1,0
310,0,0,1
311,0,1,0
312,1,0,0
314,1,0,0
316,1,0,0
318,1,0,0
322,0,1,0
324,1,0,0
325,0,0,1
326,1,1,0
328,0,1,0
329,0,1,1
330,1,1,0
331,1,0,0
332,1,0,0
333,0,1,1
335,0,1,0
336,1,0,0
337,0,1,0
340,0,0,1
342,0,0,1
344,1,0,0
346,1,0,0
347,1,0,0
349,1,0,0
351,1,0,0
352,1,0,0
353,1,0,0
354,0,1,0
356,0,1,0
359,0,1,0
361,1,0,0
362,0,1,0
365,1,0,0
366,1,0,0
367,0,1,1
368,1,0,0
369,1,0,0
370,1,1,0
372,0,0,1
374,1,0,0
375,0,0,1
376,0,0,1
378,0,1,1
380,1,0,0
382,1,0,0
383,1,0,0
384,1,0,0
386,0,0,1
388,1,0,0
389,0,1,1
390,1,0,0
393,0,1,0
394,0,1,0
395,0,0,1
396,0,0,1
398,0,1,0
399,1,0,1
401,1,0,0
402,1,0,0
404,1,0,0
405,1,0,0
407,0,1,0
410,0,1,0
414,0,1,1
416,0,0,1
418,1,0,0
419,0,1,0
422,0,1,0
423,1,0,0
425,1,0,0
426,1,0,0
427,1,0,0
428,0,1,0
431,0,1,0
433,0,1,0
434,1,0,0
435,1,0,0
436,1,0,0
440,1,0,0
441,0,0,1
442,1,0,0
443,1,0,0
445,1,0,0
448,0,1,1
451,0,1,0
454,0,0,1
456,1,0,0
457,0,1,1
458,1,0,0
459,1,0,0
460,0,0,1
461,0,1,0
463,1,0,0
464,0,0,1
467,0,0,1
468,0,1,0
471,1,0,0
473,0,0,1
475,1,0,0
476,0,0,1
478,0,1,1
481,1,0,0
482,1,0,0
483,0,1,0
485,1,0,0
490,1,0,0
493,0,1,0
494,1,0,0
508,0,1,0
509,1,0,0
510,1,0,0
511,1,0,0
512,1,0,0
513,0,0,1
514,0,1,0
516,1,0,0
517,0,0,1
518,1,0,0
520,1,0,0
521,1,0,0
522,1,0,0
523,0,0,1
524,1,0,0
525,0,0,1
526,0,1,1
527,0,0,1
528,0,0,1
529,1,0,0
530,0,0,1
531,1,0,0
534,0,1,0
535,0,1,0
536,1,0,0
537,0,1,0
538,0,1,0
539,0,0,1
540,1,0,0
542,0,1,0
545,0,1,0
546,0,1,0
547,1,0,0
548,0,1,0
551,1,0,0
554,0,1,0
556,0,1,0
557,1,0,0
559,1,0,0
560,0,0,1
562,1,0,0
563,0,0,1
564,1,0,0
565,0,0,1
566,0,1,1
567,0,0,1
568,0,1,0
571,0,1,0
572,1,0,0
573,0,1,0
574,1,0,0
577,1,1,0
578,1,0,0
579,1,0,0
582,0,0,1
584,0,1,0
586,1,0,0
587,0,0,1
589,0,1,0
590,0,1,0
591,1,0,0
592,1,0,0
593,0,1,0
595,0,0,1
596,1,0,0
597,1,1,0
598,0,1,0
600,1,0,0
602,0,1,0
606,0,0,1
607,1,1,0
609,0,1,0
610,0,1,0
611,0,1,0
612,0,1,0
613,1,0,0
614,0,1,0
617,1,0,0
619,0,1,0
620,0,1,1
